Number of exaples: 800
LLM Samples, PP Samples, Pass Rate
1, 0, 0.0
1, 1, 0.38625
1, 2, 0.42125
1, 3, 0.42875
1, 4, 0.43625
1, 5, 0.43625
1, 6, 0.4375
1, 7, 0.44
1, 8, 0.44
1, 9, 0.44125
1, 10, 0.4425
1, 11, 0.4425
1, 12, 0.44375
1, 13, 0.4475
1, 14, 0.44875
1, 15, 0.44875
1, 16, 0.44875
1, 17, 0.44875
1, 18, 0.44875
1, 19, 0.44875
1, 20, 0.45
1, 21, 0.45
1, 22, 0.45
1, 23, 0.45
1, 24, 0.45
1, 25, 0.45
1, 26, 0.45125
1, 27, 0.45125
1, 28, 0.45125
1, 29, 0.45125
1, 30, 0.45125
1, 31, 0.4525
1, 32, 0.4525
1, 33, 0.4525
1, 34, 0.4525
1, 35, 0.4525
1, 36, 0.4525
1, 37, 0.45375
1, 38, 0.45375
1, 39, 0.45375
1, 40, 0.45375
2, 0, 0.0
2, 1, 0.48125
2, 2, 0.52
2, 3, 0.52375
2, 4, 0.53
2, 5, 0.53125
2, 6, 0.5325
2, 7, 0.53625
2, 8, 0.53625
2, 9, 0.53625
2, 10, 0.53875
2, 11, 0.54
2, 12, 0.54
2, 13, 0.5425
2, 14, 0.54375
2, 15, 0.54375
2, 16, 0.545
2, 17, 0.54875
2, 18, 0.54875
2, 19, 0.54875
2, 20, 0.54875
2, 21, 0.54875
2, 22, 0.54875
2, 23, 0.54875
2, 24, 0.54875
2, 25, 0.54875
2, 26, 0.55
2, 27, 0.55125
2, 28, 0.55125
2, 29, 0.55125
2, 30, 0.55125
2, 31, 0.55375
2, 32, 0.555
2, 33, 0.555
2, 34, 0.555
2, 35, 0.55625
2, 36, 0.55625
2, 37, 0.55625
2, 38, 0.5575
2, 39, 0.5575
2, 40, 0.5575
3, 0, 0.0
3, 1, 0.535
3, 2, 0.5725
3, 3, 0.57625
3, 4, 0.58625
3, 5, 0.5875
3, 6, 0.58875
3, 7, 0.5925
3, 8, 0.5925
3, 9, 0.59375
3, 10, 0.59625
3, 11, 0.59625
3, 12, 0.5975
3, 13, 0.59875
3, 14, 0.59875
3, 15, 0.59875
3, 16, 0.59875
3, 17, 0.6
3, 18, 0.60125
3, 19, 0.60125
3, 20, 0.60125
3, 21, 0.60125
3, 22, 0.60125
3, 23, 0.60125
3, 24, 0.60125
3, 25, 0.60125
3, 26, 0.6025
3, 27, 0.6025
3, 28, 0.6025
3, 29, 0.6025
3, 30, 0.6025
3, 31, 0.60375
3, 32, 0.605
3, 33, 0.605
3, 34, 0.605
3, 35, 0.605
3, 36, 0.605
3, 37, 0.605
3, 38, 0.60625
3, 39, 0.60625
3, 40, 0.60625
4, 0, 0.0
4, 1, 0.565
4, 2, 0.60625
4, 3, 0.61125
4, 4, 0.61625
4, 5, 0.61625
4, 6, 0.6175
4, 7, 0.61875
4, 8, 0.61875
4, 9, 0.62
4, 10, 0.6225
4, 11, 0.62375
4, 12, 0.625
4, 13, 0.62625
4, 14, 0.62625
4, 15, 0.6275
4, 16, 0.6275
4, 17, 0.62875
4, 18, 0.63
4, 19, 0.63
4, 20, 0.63
4, 21, 0.63
4, 22, 0.63
4, 23, 0.63
4, 24, 0.63
4, 25, 0.63
4, 26, 0.63125
4, 27, 0.63125
4, 28, 0.63125
4, 29, 0.63125
4, 30, 0.63125
4, 31, 0.6325
4, 32, 0.6325
4, 33, 0.6325
4, 34, 0.6325
4, 35, 0.6325
4, 36, 0.6325
4, 37, 0.6325
4, 38, 0.63375
4, 39, 0.63375
4, 40, 0.63375
5, 0, 0.0
5, 1, 0.59125
5, 2, 0.62875
