Number of exaples: 800
LLM Samples, PP Samples, Pass Rate
1, 0, 0.0
1, 1, 0.54375
1, 2, 0.56625
1, 3, 0.57125
1, 4, 0.57625
1, 5, 0.5775
1, 6, 0.58
1, 7, 0.58
1, 8, 0.58
1, 9, 0.58125
1, 10, 0.58125
1, 11, 0.58375
1, 12, 0.58375
1, 13, 0.58375
1, 14, 0.58375
1, 15, 0.58375
1, 16, 0.58375
1, 17, 0.585
1, 18, 0.585
1, 19, 0.585
1, 20, 0.5875
1, 21, 0.5875
1, 22, 0.5875
1, 23, 0.5875
1, 24, 0.5875
1, 25, 0.5875
1, 26, 0.5875
1, 27, 0.5875
1, 28, 0.5875
1, 29, 0.58875
1, 30, 0.58875
1, 31, 0.58875
1, 32, 0.58875
1, 33, 0.58875
1, 34, 0.58875
1, 35, 0.58875
1, 36, 0.58875
1, 37, 0.59
1, 38, 0.59
1, 39, 0.59
1, 40, 0.59
2, 0, 0.0
2, 1, 0.63625
2, 2, 0.66125
2, 3, 0.67
2, 4, 0.6725
2, 5, 0.67375
2, 6, 0.67625
2, 7, 0.67875
2, 8, 0.67875
2, 9, 0.68125
2, 10, 0.68125
2, 11, 0.68375
2, 12, 0.68375
2, 13, 0.68375
2, 14, 0.68375
2, 15, 0.68375
2, 16, 0.685
2, 17, 0.68625
2, 18, 0.68625
2, 19, 0.68625
2, 20, 0.6875
2, 21, 0.6875
2, 22, 0.6875
2, 23, 0.6875
2, 24, 0.6875
2, 25, 0.6875
2, 26, 0.6875
2, 27, 0.6875
2, 28, 0.6875
2, 29, 0.6875
2, 30, 0.6875
2, 31, 0.6875
2, 32, 0.6875
2, 33, 0.6875
2, 34, 0.6875
2, 35, 0.6875
2, 36, 0.6875
2, 37, 0.6875
2, 38, 0.6875
2, 39, 0.6875
2, 40, 0.6875
3, 0, 0.0
3, 1, 0.685
3, 2, 0.7075
3, 3, 0.71625
3, 4, 0.71875
3, 5, 0.71875
3, 6, 0.72125
3, 7, 0.72125
3, 8, 0.72125
3, 9, 0.72375
3, 10, 0.72375
3, 11, 0.72625
3, 12, 0.72625
3, 13, 0.72625
3, 14, 0.72625
3, 15, 0.72625
3, 16, 0.7275
3, 17, 0.7275
3, 18, 0.7275
3, 19, 0.7275
3, 20, 0.7275
3, 21, 0.7275
3, 22, 0.7275
3, 23, 0.7275
3, 24, 0.7275
3, 25, 0.7275
3, 26, 0.7275
3, 27, 0.7275
3, 28, 0.7275
3, 29, 0.7275
3, 30, 0.7275
3, 31, 0.7275
3, 32, 0.7275
3, 33, 0.72875
3, 34, 0.72875
3, 35, 0.72875
3, 36, 0.72875
3, 37, 0.72875
3, 38, 0.72875
3, 39, 0.72875
3, 40, 0.72875
4, 0, 0.0
4, 1, 0.71125
4, 2, 0.7325
4, 3, 0.7425
4, 4, 0.745
4, 5, 0.745
4, 6, 0.74625
4, 7, 0.74625
4, 8, 0.74625
4, 9, 0.74875
4, 10, 0.74875
4, 11, 0.7525
4, 12, 0.7525
4, 13, 0.7525
4, 14, 0.7525
4, 15, 0.7525
4, 16, 0.75375
4, 17, 0.75375
4, 18, 0.75375
4, 19, 0.75375
4, 20, 0.75375
4, 21, 0.75375
4, 22, 0.75375
4, 23, 0.75375
4, 24, 0.75375
4, 25, 0.75375
4, 26, 0.75375
4, 27, 0.75375
4, 28, 0.75375
4, 29, 0.75375
4, 30, 0.75375
4, 31, 0.75375
4, 32, 0.75375
4, 33, 0.755
4, 34, 0.755
4, 35, 0.755
4, 36, 0.755
4, 37, 0.755
4, 38, 0.755
4, 39, 0.755
4, 40, 0.755
5, 0, 0.0
5, 1, 0.73375
5, 2, 0.75375
5, 3, 0.7625
5, 4, 0.765
5, 5, 0.765
5, 6, 0.76625
5, 7, 0.76625
5, 8, 0.76625
5, 9, 0.76875
5, 10, 0.77
5, 11, 0.7725
5, 12, 0.7725
5, 13, 0.7725
5, 14, 0.7725
5, 15, 0.7725
5, 16, 0.7725
5, 17, 0.7725
5, 18, 0.7725
5, 19, 0.7725
5, 20, 0.7725
5, 21, 0.7725
5, 22, 0.7725
5, 23, 0.7725
5, 24, 0.7725
5, 25, 0.7725
5, 26, 0.7725
5, 27, 0.7725
5, 28, 0.7725
5, 29, 0.7725
5, 30, 0.7725
5, 31, 0.7725
5, 32, 0.7725
5, 33, 0.77375
5, 34, 0.77375
5, 35, 0.77375
5, 36, 0.77375
5, 37, 0.77375
5, 38, 0.77375
5, 39, 0.77375
5, 40, 0.77375
6, 0, 0.0
6, 1, 0.7425
