k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,0.26725000000000004,0.30925,0.33025,0.3395,0.345,0.34675
2,0.35925,0.4085,0.4305,0.43949999999999995,0.44475,0.4465
3,0.41950000000000004,0.46875,0.4887499999999999,0.4965,0.5005,0.50325
4,0.4535,0.5005,0.5207499999999999,0.5277499999999999,0.53075,0.53375
5,0.4779999999999999,0.52775,0.5467500000000001,0.5529999999999999,0.55625,0.5589999999999999
6,0.5005,0.5502499999999999,0.5665,0.57225,0.5752499999999999,0.578
7,0.5175000000000001,0.5655,0.5805,0.5865,0.5895,0.5914999999999999
8,0.53125,0.579,0.5934999999999999,0.6002500000000001,0.603,0.6047499999999999
9,0.54025,0.5860000000000001,0.5994999999999999,0.60625,0.60875,0.6105
10,0.5505,0.59475,0.6085,0.615,0.6175,0.619
11,0.5577500000000001,0.6012500000000001,0.615,0.62175,0.6244999999999999,0.626
12,0.5662499999999999,0.60875,0.62225,0.62825,0.631,0.63225
13,0.5747500000000001,0.61625,0.63075,0.6362499999999999,0.63875,0.63975
14,0.584,0.62575,0.6395000000000001,0.6445,0.64725,0.6479999999999999
15,0.59075,0.633,0.6449999999999999,0.65,0.6525,0.653
16,0.5952500000000001,0.6355000000000001,0.6475,0.653,0.65575,0.65625
17,0.60075,0.6405000000000001,0.651,0.65675,0.6595,0.66
18,0.6054999999999999,0.646,0.65575,0.66175,0.6645,0.66475
19,0.6094999999999999,0.651,0.661,0.66625,0.6685000000000001,0.66875
20,0.6144999999999999,0.65575,0.66525,0.67075,0.673,0.6735
