k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,0.38499999999999995,0.4205,0.4415,0.4485,0.45199999999999996,0.4545
2,0.48600000000000004,0.5225000000000001,0.5435000000000001,0.5494999999999999,0.55325,0.5547500000000001
3,0.53925,0.57525,0.5962500000000001,0.60025,0.60375,0.6060000000000001
4,0.57725,0.6125,0.6315,0.63575,0.639,0.6415000000000001
5,0.60575,0.63975,0.6565000000000001,0.6599999999999999,0.66375,0.6665000000000001
6,0.6292500000000001,0.6612500000000001,0.6755000000000001,0.67925,0.6827500000000001,0.6857499999999999
7,0.6439999999999999,0.6757500000000001,0.68925,0.693,0.69675,0.69925
8,0.65725,0.6875,0.70125,0.7050000000000002,0.7084999999999999,0.711
9,0.66975,0.70075,0.713,0.71725,0.7205,0.72275
10,0.67875,0.70975,0.722,0.72575,0.7285,0.7307500000000001
11,0.6867500000000001,0.71625,0.7285,0.7325,0.73525,0.7369999999999999
12,0.6957500000000001,0.724,0.73575,0.7397499999999999,0.742,0.74375
13,0.70425,0.73175,0.74275,0.7462500000000001,0.7482499999999999,0.7500000000000001
14,0.71275,0.739,0.7492500000000001,0.753,0.755,0.7565
15,0.7184999999999999,0.74375,0.75425,0.75925,0.7615000000000001,0.76275
16,0.72175,0.7467499999999999,0.7575000000000001,0.7625,0.7645,0.766
17,0.7275,0.75175,0.76325,0.76825,0.7702500000000001,0.7717500000000002
18,0.73125,0.75525,0.76675,0.772,0.77375,0.7755
19,0.7332500000000001,0.7575000000000001,0.7677500000000002,0.77325,0.7755,0.7769999999999999
20,0.7375,0.76025,0.771,0.77675,0.779,0.7805
