k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,1.887417171001434,2.5526298642158514,2.5457686138153077,2.547067291736603,2.54848781824112,2.549812924861908
3,2.715201063156128,2.9167904114723204,2.8987495493888855,2.902854323387146,2.9071080350875853,2.9109775924682615
5,2.4446406388282775,3.5760063076019284,3.5385616302490233,3.545860261917114,3.5521834635734555,3.559115796089172
7,2.9279110741615293,3.1209858679771427,3.1045291519165046,3.114036333560944,3.1231117653846745,3.1325004649162294
9,2.7654600143432617,3.844977357387543,3.8127129721641544,3.8247448611259465,3.837675158977509,3.84834386587143
11,3.434030997753143,3.821423962116241,3.754220461845398,3.770500600337982,3.783340275287628,3.7973628401756288
13,3.5282582497596744,4.281124079227448,4.167213082313538,4.185431745052338,4.20131160736084,4.2173971915245065
15,3.6182758450508117,5.385509130954741,5.195998048782348,5.216920557022094,5.234432170391082,5.255283663272857
17,3.8314024329185488,5.643286638259889,5.435256881713868,5.458217005729677,5.479262647628785,5.500009009838105
19,4.106701629161835,5.56906308412552,5.322088141441347,5.348809816837312,5.373557782173157,5.3987978243827826
