k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,1.9069166898727417,1.995036611557007,1.992996430397034,1.9945364165306092,1.9962510442733765,1.9980902719497682
3,2.0232230639457702,2.2018065118789676,2.189641082286835,2.1945726728439334,2.1992720413208007,2.2038936877250674
5,2.051890602111816,2.1309243893623355,2.1216656780242924,2.1293606495857245,2.1372164678573613,2.1448449635505678
7,2.1935146045684815,2.3873058938980103,2.365538601875305,2.3770190262794495,2.3884558081626888,2.3999376916885375
9,2.268167815208435,2.47925488948822,2.450482201576233,2.4647117376327516,2.480123133659363,2.493381881713867
11,2.3974677085876466,2.62413880109787,2.5955768823623657,2.614221568107605,2.629701991081238,2.646429636478424
13,2.392100121974945,2.5848376131057735,2.5655951142311095,2.584790689945221,2.6023292326927185,2.620507433414459
15,2.533782255649567,2.66560804605484,2.651629736423492,2.6732969951629637,2.6937419509887697,2.7147340846061705
17,2.6945297622680666,2.9172231101989743,2.8811670327186585,2.9058446979522703,2.929413385391235,2.953359048366546
19,2.76398862361908,2.93258499622345,2.9133291673660278,2.9388740038871766,2.964289500713348,2.9902540826797486
