Number of exaples: 800
LLM Samples, PP Samples, Pass Rate
1, 0, 0.0
1, 1, 0.24125
1, 2, 0.27875
1, 3, 0.28625
1, 4, 0.29625
1, 5, 0.3
1, 6, 0.305
1, 7, 0.30625
1, 8, 0.30625
1, 9, 0.30875
1, 10, 0.30875
1, 11, 0.30875
1, 12, 0.30875
1, 13, 0.30875
1, 14, 0.31
1, 15, 0.31
1, 16, 0.31125
1, 17, 0.3125
1, 18, 0.3125
1, 19, 0.315
1, 20, 0.315
1, 21, 0.31875
1, 22, 0.32125
1, 23, 0.32125
1, 24, 0.32125
1, 25, 0.3225
1, 26, 0.3225
1, 27, 0.32375
1, 28, 0.32375
1, 29, 0.32375
1, 30, 0.32375
1, 31, 0.32375
1, 32, 0.32375
1, 33, 0.32375
1, 34, 0.32625
1, 35, 0.32625
1, 36, 0.32625
1, 37, 0.32625
1, 38, 0.32625
1, 39, 0.32625
1, 40, 0.32625
2, 0, 0.0
2, 1, 0.34
2, 2, 0.3875
2, 3, 0.39875
2, 4, 0.40375
2, 5, 0.405
2, 6, 0.40875
2, 7, 0.41
2, 8, 0.41125
2, 9, 0.4125
2, 10, 0.4125
2, 11, 0.4125
2, 12, 0.41375
2, 13, 0.415
2, 14, 0.41625
2, 15, 0.41625
2, 16, 0.4175
2, 17, 0.4175
2, 18, 0.4175
2, 19, 0.4175
2, 20, 0.4175
2, 21, 0.41875
2, 22, 0.42
2, 23, 0.42
2, 24, 0.42
2, 25, 0.42
2, 26, 0.42
2, 27, 0.42
2, 28, 0.42
2, 29, 0.42
2, 30, 0.42
2, 31, 0.42
2, 32, 0.42
2, 33, 0.42
2, 34, 0.42
2, 35, 0.42
2, 36, 0.42
2, 37, 0.42
2, 38, 0.42
2, 39, 0.42
2, 40, 0.42
3, 0, 0.0
3, 1, 0.39625
3, 2, 0.44375
3, 3, 0.4575
3, 4, 0.4625
3, 5, 0.46375
3, 6, 0.465
3, 7, 0.4675
3, 8, 0.4675
3, 9, 0.4675
3, 10, 0.4675
3, 11, 0.4675
3, 12, 0.46875
3, 13, 0.46875
3, 14, 0.47
3, 15, 0.47
3, 16, 0.47125
3, 17, 0.47125
3, 18, 0.47125
3, 19, 0.47125
3, 20, 0.47125
3, 21, 0.4725
3, 22, 0.47375
3, 23, 0.475
3, 24, 0.475
3, 25, 0.475
3, 26, 0.475
3, 27, 0.475
3, 28, 0.475
3, 29, 0.475
3, 30, 0.475
3, 31, 0.475
3, 32, 0.475
3, 33, 0.475
3, 34, 0.475
3, 35, 0.475
3, 36, 0.475
3, 37, 0.475
