Number of exaples: 800
LLM Samples, PP Samples, Pass Rate
1, 0, 0.0
1, 1, 0.26125
1, 2, 0.29625
1, 3, 0.30375
1, 4, 0.30875
1, 5, 0.3125
1, 6, 0.31625
1, 7, 0.3225
1, 8, 0.32375
1, 9, 0.3275
1, 10, 0.3275
1, 11, 0.33
1, 12, 0.33125
1, 13, 0.33375
1, 14, 0.33375
1, 15, 0.335
1, 16, 0.335
1, 17, 0.335
1, 18, 0.335
1, 19, 0.335
1, 20, 0.335
1, 21, 0.335
1, 22, 0.335
1, 23, 0.335
1, 24, 0.335
1, 25, 0.33625
1, 26, 0.33625
1, 27, 0.33625
1, 28, 0.33625
1, 29, 0.33625
1, 30, 0.33625
1, 31, 0.33625
1, 32, 0.33625
1, 33, 0.33625
1, 34, 0.33625
1, 35, 0.33625
1, 36, 0.33625
1, 37, 0.3375
1, 38, 0.3375
1, 39, 0.3375
1, 40, 0.3375
2, 0, 0.0
2, 1, 0.35125
2, 2, 0.39875
2, 3, 0.40125
2, 4, 0.40375
2, 5, 0.4075
2, 6, 0.41
2, 7, 0.41375
2, 8, 0.41375
2, 9, 0.415
2, 10, 0.4175
2, 11, 0.41875
2, 12, 0.41875
2, 13, 0.42125
2, 14, 0.42125
2, 15, 0.4225
2, 16, 0.4225
2, 17, 0.4225
2, 18, 0.4225
2, 19, 0.4225
2, 20, 0.4225
2, 21, 0.4225
2, 22, 0.4225
2, 23, 0.4225
2, 24, 0.4225
2, 25, 0.42375
2, 26, 0.42375
2, 27, 0.42375
2, 28, 0.42375
2, 29, 0.42375
2, 30, 0.42375
2, 31, 0.42375
2, 32, 0.42375
2, 33, 0.42375
2, 34, 0.42375
2, 35, 0.42375
2, 36, 0.42375
2, 37, 0.425
2, 38, 0.42625
2, 39, 0.42625
2, 40, 0.42625
3, 0, 0.0
3, 1, 0.40625
3, 2, 0.45625
3, 3, 0.4575
3, 4, 0.4625
3, 5, 0.4675
3, 6, 0.46875
3, 7, 0.46875
3, 8, 0.46875
3, 9, 0.46875
3, 10, 0.47125
3, 11, 0.47125
3, 12, 0.47125
3, 13, 0.4725
3, 14, 0.4725
3, 15, 0.4725
3, 16, 0.4725
3, 17, 0.4725
3, 18, 0.4725
3, 19, 0.4725
3, 20, 0.4725
3, 21, 0.4725
3, 22, 0.4725
3, 23, 0.4725
3, 24, 0.4725
3, 25, 0.47375
3, 26, 0.47375
3, 27, 0.47375
3, 28, 0.47375
3, 29, 0.47375
3, 30, 0.47375
3, 31, 0.47375
3, 32, 0.47375
3, 33, 0.47375
3, 34, 0.47375
3, 35, 0.47375
3, 36, 0.47375
3, 37, 0.47375
3, 38, 0.475
3, 39, 0.475
3, 40, 0.475
4, 0, 0.0
4, 1, 0.4525
4, 2, 0.50125
4, 3, 0.50375
4, 4, 0.50875
4, 5, 0.51375
4, 6, 0.515
4, 7, 0.515
4, 8, 0.515
4, 9, 0.515
4, 10, 0.5175
4, 11, 0.5175
4, 12, 0.5175
4, 13, 0.51875
4, 14, 0.51875
4, 15, 0.51875
4, 16, 0.51875
4, 17, 0.51875
4, 18, 0.51875
4, 19, 0.51875
4, 20, 0.51875
4, 21, 0.51875
4, 22, 0.51875
4, 23, 0.51875
4, 24, 0.51875
4, 25, 0.51875
4, 26, 0.51875
4, 27, 0.51875
4, 28, 0.51875
4, 29, 0.51875
4, 30, 0.51875
4, 31, 0.51875
4, 32, 0.52
4, 33, 0.52
4, 34, 0.52
4, 35, 0.52
4, 36, 0.52
4, 37, 0.52
4, 38, 0.52125
4, 39, 0.52125
4, 40, 0.52125
5, 0, 0.0
5, 1, 0.47375
5, 2, 0.5225
5, 3, 0.525
5, 4, 0.53
5, 5, 0.535
5, 6, 0.5375
5, 7, 0.53875
5, 8, 0.54
5, 9, 0.54
5, 10, 0.5425
5, 11, 0.5425
5, 12, 0.54375
5, 13, 0.545
5, 14, 0.545
5, 15, 0.545
5, 16, 0.545
5, 17, 0.545
5, 18, 0.545
5, 19, 0.545
5, 20, 0.545
5, 21, 0.545
5, 22, 0.545
5, 23, 0.545
5, 24, 0.545
5, 25, 0.545
5, 26, 0.545
5, 27, 0.545
5, 28, 0.545
5, 29, 0.54625
5, 30, 0.54625
5, 31, 0.54625
5, 32, 0.54625
5, 33, 0.54625
5, 34, 0.54625
5, 35, 0.54625
5, 36, 0.54625
5, 37, 0.54625
5, 38, 0.5475
5, 39, 0.5475
5, 40, 0.5475
6, 0, 0.0
6, 1, 0.4975
6, 2, 0.54125
6, 3, 0.54375
6, 4, 0.54875
6, 5, 0.55375
6, 6, 0.55625
6, 7, 0.5575
6, 8, 0.55875
6, 9, 0.55875
6, 10, 0.56125
6, 11, 0.56125
6, 12, 0.5625
6, 13, 0.56375
6, 14, 0.56375
6, 15, 0.56375
6, 16, 0.565
6, 17, 0.56625
6, 18, 0.56625
6, 19, 0.56625
6, 20, 0.56625
6, 21, 0.56625
6, 22, 0.56625
6, 23, 0.56625
6, 24, 0.56625
6, 25, 0.56625
6, 26, 0.56625
6, 27, 0.56625
