Number of exaples: 800
LLM Samples, PP Samples, Pass Rate
1, 0, 0.0
1, 1, 0.2625
1, 2, 0.29875
1, 3, 0.31125
1, 4, 0.31875
1, 5, 0.3225
1, 6, 0.32625
1, 7, 0.3275
1, 8, 0.32875
1, 9, 0.33
1, 10, 0.3325
1, 11, 0.33625
1, 12, 0.33875
1, 13, 0.33875
1, 14, 0.3425
1, 15, 0.3425
1, 16, 0.345
1, 17, 0.345
1, 18, 0.345
1, 19, 0.345
1, 20, 0.345
1, 21, 0.345
1, 22, 0.345
1, 23, 0.345
1, 24, 0.345
1, 25, 0.34625
1, 26, 0.34625
1, 27, 0.34625
1, 28, 0.34625
1, 29, 0.3475
1, 30, 0.35
1, 31, 0.35125
1, 32, 0.35125
1, 33, 0.35125
1, 34, 0.355
1, 35, 0.355
1, 36, 0.355
1, 37, 0.355
1, 38, 0.355
1, 39, 0.355
1, 40, 0.35625
2, 0, 0.0
2, 1, 0.345
2, 2, 0.39
2, 3, 0.4075
2, 4, 0.4125
2, 5, 0.42
2, 6, 0.42125
2, 7, 0.4225
2, 8, 0.42375
2, 9, 0.42375
2, 10, 0.42625
2, 11, 0.42875
2, 12, 0.43
2, 13, 0.43
2, 14, 0.4325
2, 15, 0.4325
2, 16, 0.43375
2, 17, 0.43375
2, 18, 0.43375
2, 19, 0.435
2, 20, 0.435
2, 21, 0.435
2, 22, 0.435
2, 23, 0.435
2, 24, 0.435
2, 25, 0.435
2, 26, 0.435
2, 27, 0.435
2, 28, 0.435
2, 29, 0.43625
2, 30, 0.4375
2, 31, 0.4375
2, 32, 0.4375
2, 33, 0.4375
2, 34, 0.44
2, 35, 0.44
2, 36, 0.44
2, 37, 0.44
2, 38, 0.44
2, 39, 0.44
2, 40, 0.44
3, 0, 0.0
3, 1, 0.405
3, 2, 0.4525
3, 3, 0.465
3, 4, 0.47375
3, 5, 0.4775
3, 6, 0.47875
3, 7, 0.48
3, 8, 0.4825
3, 9, 0.4825
3, 10, 0.4825
3, 11, 0.48625
3, 12, 0.4875
3, 13, 0.4875
3, 14, 0.49
3, 15, 0.49
3, 16, 0.49125
3, 17, 0.49125
3, 18, 0.49125
3, 19, 0.4925
3, 20, 0.4925
3, 21, 0.4925
3, 22, 0.4925
3, 23, 0.4925
3, 24, 0.4925
3, 25, 0.4925
3, 26, 0.4925
3, 27, 0.4925
3, 28, 0.4925
3, 29, 0.49375
3, 30, 0.49375
3, 31, 0.49375
3, 32, 0.49375
3, 33, 0.49375
3, 34, 0.49625
3, 35, 0.49625
3, 36, 0.49625
3, 37, 0.4975
3, 38, 0.4975
3, 39, 0.4975
3, 40, 0.4975
4, 0, 0.0
4, 1, 0.45375
4, 2, 0.49125
4, 3, 0.505
4, 4, 0.51625
4, 5, 0.52
4, 6, 0.52125
4, 7, 0.52125
4, 8, 0.5225
4, 9, 0.52375
4, 10, 0.52375
4, 11, 0.525
4, 12, 0.52625
4, 13, 0.52625
4, 14, 0.5275
4, 15, 0.5275
4, 16, 0.52875
4, 17, 0.52875
4, 18, 0.52875
4, 19, 0.52875
4, 20, 0.52875
4, 21, 0.52875
4, 22, 0.52875
4, 23, 0.52875
4, 24, 0.52875
4, 25, 0.52875
4, 26, 0.52875
4, 27, 0.52875
4, 28, 0.52875
4, 29, 0.53
4, 30, 0.53
4, 31, 0.53
4, 32, 0.53
4, 33, 0.53
4, 34, 0.5325
4, 35, 0.5325
4, 36, 0.5325
4, 37, 0.5325
4, 38, 0.5325
4, 39, 0.5325
4, 40, 0.5325
5, 0, 0.0
5, 1, 0.47875
5, 2, 0.5175
5, 3, 0.5325
5, 4, 0.54125
5, 5, 0.54375
5, 6, 0.545
5, 7, 0.545
5, 8, 0.54625
5, 9, 0.5475
5, 10, 0.54875
5, 11, 0.55
5, 12, 0.55125
5, 13, 0.55125
5, 14, 0.5525
5, 15, 0.5525
5, 16, 0.55375
5, 17, 0.55375
5, 18, 0.55375
5, 19, 0.55375
5, 20, 0.55375
5, 21, 0.55375
5, 22, 0.55375
5, 23, 0.55375
5, 24, 0.55375
5, 25, 0.55375
5, 26, 0.55375
5, 27, 0.55375
5, 28, 0.55375
5, 29, 0.555
5, 30, 0.555
5, 31, 0.555
5, 32, 0.555
5, 33, 0.555
5, 34, 0.55625
5, 35, 0.55625
5, 36, 0.55625
5, 37, 0.55625
5, 38, 0.55625
5, 39, 0.55625
5, 40, 0.55625
6, 0, 0.0
6, 1, 0.4975
6, 2, 0.53875
6, 3, 0.55
6, 4, 0.555
6, 5, 0.55625
6, 6, 0.55875
6, 7, 0.55875
6, 8, 0.56
6, 9, 0.56125
6, 10, 0.56125
6, 11, 0.5625
6, 12, 0.56375
6, 13, 0.56375
6, 14, 0.565
6, 15, 0.565
6, 16, 0.56625
6, 17, 0.56625
6, 18, 0.56625
6, 19, 0.56625
6, 20, 0.56625
6, 21, 0.56625
6, 22, 0.56625
6, 23, 0.56625
6, 24, 0.56625
6, 25, 0.56625
6, 26, 0.56625
6, 27, 0.56625
6, 28, 0.56625
6, 29, 0.5675
6, 30, 0.5675
6, 31, 0.5675
6, 32, 0.5675
6, 33, 0.5675
6, 34, 0.56875
6, 35, 0.56875
6, 36, 0.56875
6, 37, 0.56875
6, 38, 0.56875
6, 39, 0.56875
6, 40, 0.56875
7, 0, 0.0
7, 1, 0.51
7, 2, 0.5525
7, 3, 0.5625
7, 4, 0.5675
7, 5, 0.5675
7, 6, 0.57
7, 7, 0.57
7, 8, 0.57125
7, 9, 0.57125
7, 10, 0.57125
7, 11, 0.5725
7, 12, 0.57375
7, 13, 0.57375
7, 14, 0.575
7, 15, 0.575
7, 16, 0.57625
7, 17, 0.57625
7, 18, 0.57625
7, 19, 0.57625
7, 20, 0.57625
7, 21, 0.57625
7, 22, 0.57625
7, 23, 0.5775
7, 24, 0.5775
7, 25, 0.5775
7, 26, 0.5775
7, 27, 0.5775
7, 28, 0.5775
7, 29, 0.57875
7, 30, 0.57875
7, 31, 0.57875
7, 32, 0.57875
7, 33, 0.57875
7, 34, 0.58
7, 35, 0.58
7, 36, 0.58
7, 37, 0.58
7, 38, 0.58
7, 39, 0.58
7, 40, 0.58
8, 0, 0.0
8, 1, 0.525
8, 2, 0.5675
8, 3, 0.57875
8, 4, 0.58375
8, 5, 0.58375
8, 6, 0.585
8, 7, 0.585
8, 8, 0.58625
8, 9, 0.58625
8, 10, 0.58625
8, 11, 0.5875
8, 12, 0.58875
8, 13, 0.58875
8, 14, 0.59
8, 15, 0.59
8, 16, 0.59125
8, 17, 0.59125
8, 18, 0.59125
8, 19, 0.59125
8, 20, 0.59125
8, 21, 0.59125
