Number of exaples: 800
LLM Samples, PP Samples, Pass Rate
1, 0, 0.0
1, 1, 0.3775
1, 2, 0.40625
1, 3, 0.415
1, 4, 0.4225
1, 5, 0.4275
1, 6, 0.42875
1, 7, 0.4325
1, 8, 0.4325
1, 9, 0.43375
1, 10, 0.435
1, 11, 0.435
1, 12, 0.435
1, 13, 0.4375
1, 14, 0.4375
1, 15, 0.4375
1, 16, 0.43875
1, 17, 0.43875
1, 18, 0.44
1, 19, 0.44
1, 20, 0.44
1, 21, 0.44
1, 22, 0.44
1, 23, 0.44
1, 24, 0.44
1, 25, 0.44
1, 26, 0.44
1, 27, 0.44125
1, 28, 0.44125
1, 29, 0.44125
1, 30, 0.4425
1, 31, 0.4425
1, 32, 0.4425
1, 33, 0.4425
1, 34, 0.4425
1, 35, 0.4425
1, 36, 0.4425
1, 37, 0.4425
1, 38, 0.4425
1, 39, 0.4425
1, 40, 0.4425
2, 0, 0.0
2, 1, 0.4775
2, 2, 0.50875
2, 3, 0.52
2, 4, 0.52625
2, 5, 0.53375
2, 6, 0.535
2, 7, 0.535
2, 8, 0.535
2, 9, 0.535
2, 10, 0.53625
2, 11, 0.53625
2, 12, 0.53625
2, 13, 0.54
2, 14, 0.54
2, 15, 0.54
2, 16, 0.54125
2, 17, 0.54125
2, 18, 0.54125
2, 19, 0.54125
2, 20, 0.54125
2, 21, 0.54125
2, 22, 0.54125
2, 23, 0.5425
2, 24, 0.5425
2, 25, 0.5425
2, 26, 0.5425
2, 27, 0.5425
2, 28, 0.5425
2, 29, 0.5425
2, 30, 0.5425
2, 31, 0.5425
2, 32, 0.5425
2, 33, 0.5425
2, 34, 0.5425
2, 35, 0.5425
2, 36, 0.5425
2, 37, 0.5425
2, 38, 0.5425
2, 39, 0.5425
2, 40, 0.5425
3, 0, 0.0
3, 1, 0.52125
3, 2, 0.55875
3, 3, 0.5675
3, 4, 0.5725
3, 5, 0.5775
3, 6, 0.57875
3, 7, 0.58
3, 8, 0.58125
3, 9, 0.58125
3, 10, 0.5825
3, 11, 0.5825
3, 12, 0.5825
3, 13, 0.585
3, 14, 0.585
3, 15, 0.58625
3, 16, 0.5875
3, 17, 0.5875
3, 18, 0.58875
3, 19, 0.59
3, 20, 0.59
3, 21, 0.59
3, 22, 0.59
3, 23, 0.59125
3, 24, 0.5925
3, 25, 0.5925
3, 26, 0.5925
3, 27, 0.5925
3, 28, 0.5925
3, 29, 0.5925
3, 30, 0.5925
3, 31, 0.5925
3, 32, 0.5925
3, 33, 0.5925
3, 34, 0.5925
3, 35, 0.5925
