Number of exaples: 800
LLM Samples, PP Samples, Pass Rate
1, 0, 0.0
1, 1, 0.54375
1, 2, 0.5675
1, 3, 0.575
1, 4, 0.575
1, 5, 0.5775
1, 6, 0.57875
1, 7, 0.5825
1, 8, 0.58375
1, 9, 0.58375
1, 10, 0.585
1, 11, 0.585
1, 12, 0.585
1, 13, 0.58625
1, 14, 0.58625
1, 15, 0.5875
1, 16, 0.5875
1, 17, 0.5875
1, 18, 0.58875
1, 19, 0.58875
1, 20, 0.58875
1, 21, 0.58875
1, 22, 0.58875
1, 23, 0.58875
1, 24, 0.58875
1, 25, 0.58875
1, 26, 0.59
1, 27, 0.59
1, 28, 0.59
1, 29, 0.59
1, 30, 0.59125
1, 31, 0.59125
1, 32, 0.59125
1, 33, 0.59125
1, 34, 0.59125
1, 35, 0.59125
1, 36, 0.59125
1, 37, 0.59125
1, 38, 0.59125
1, 39, 0.59125
1, 40, 0.59125
2, 0, 0.0
2, 1, 0.63625
2, 2, 0.66125
2, 3, 0.6675
2, 4, 0.6725
2, 5, 0.67625
2, 6, 0.67625
2, 7, 0.6775
2, 8, 0.68125
2, 9, 0.68125
2, 10, 0.68375
2, 11, 0.68375
2, 12, 0.68375
2, 13, 0.685
2, 14, 0.685
2, 15, 0.6875
2, 16, 0.6875
2, 17, 0.6875
2, 18, 0.6875
2, 19, 0.6875
2, 20, 0.6875
2, 21, 0.6875
2, 22, 0.6875
2, 23, 0.6875
2, 24, 0.6875
2, 25, 0.6875
2, 26, 0.6875
2, 27, 0.6875
2, 28, 0.6875
2, 29, 0.6875
2, 30, 0.68875
2, 31, 0.68875
2, 32, 0.68875
2, 33, 0.68875
2, 34, 0.68875
2, 35, 0.68875
2, 36, 0.68875
2, 37, 0.68875
2, 38, 0.68875
2, 39, 0.68875
2, 40, 0.68875
3, 0, 0.0
3, 1, 0.685
3, 2, 0.71
3, 3, 0.71375
3, 4, 0.7175
3, 5, 0.71875
3, 6, 0.72
3, 7, 0.72125
3, 8, 0.72375
3, 9, 0.72375
3, 10, 0.72625
3, 11, 0.72625
3, 12, 0.72625
3, 13, 0.72625
3, 14, 0.72625
3, 15, 0.7275
3, 16, 0.7275
3, 17, 0.72875
3, 18, 0.72875
3, 19, 0.72875
3, 20, 0.72875
3, 21, 0.72875
3, 22, 0.72875
3, 23, 0.72875
3, 24, 0.72875
3, 25, 0.72875
3, 26, 0.72875
3, 27, 0.72875
3, 28, 0.72875
3, 29, 0.72875
3, 30, 0.72875
3, 31, 0.72875
3, 32, 0.72875
3, 33, 0.72875
3, 34, 0.72875
3, 35, 0.72875
3, 36, 0.72875
3, 37, 0.72875
3, 38, 0.72875
3, 39, 0.72875
3, 40, 0.72875
4, 0, 0.0
4, 1, 0.71125
4, 2, 0.73625
4, 3, 0.73875
4, 4, 0.745
4, 5, 0.74625
4, 6, 0.7475
4, 7, 0.74875
4, 8, 0.75
4, 9, 0.75
4, 10, 0.7525
4, 11, 0.7525
4, 12, 0.75375
4, 13, 0.75375
4, 14, 0.75375
4, 15, 0.75375
4, 16, 0.75375
4, 17, 0.755
4, 18, 0.755
4, 19, 0.755
4, 20, 0.755
4, 21, 0.755
4, 22, 0.755
4, 23, 0.755
4, 24, 0.755
4, 25, 0.755
4, 26, 0.755
4, 27, 0.755
4, 28, 0.755
4, 29, 0.755
4, 30, 0.755
4, 31, 0.755
4, 32, 0.755
4, 33, 0.755
4, 34, 0.755
4, 35, 0.755
4, 36, 0.755
4, 37, 0.755
4, 38, 0.755
4, 39, 0.755
4, 40, 0.755
5, 0, 0.0
5, 1, 0.73375
5, 2, 0.7575
5, 3, 0.75875
5, 4, 0.765
5, 5, 0.76625
5, 6, 0.76875
5, 7, 0.77
5, 8, 0.77
5, 9, 0.77
5, 10, 0.7725
5, 11, 0.7725
5, 12, 0.77375
5, 13, 0.77375
5, 14, 0.77375
5, 15, 0.77375
5, 16, 0.77375
5, 17, 0.775
5, 18, 0.775
5, 19, 0.775
5, 20, 0.775
5, 21, 0.775
5, 22, 0.775
5, 23, 0.775
5, 24, 0.775
5, 25, 0.775
5, 26, 0.775
5, 27, 0.775
5, 28, 0.775
5, 29, 0.775
5, 30, 0.775
5, 31, 0.775
5, 32, 0.775
5, 33, 0.775
5, 34, 0.775
5, 35, 0.775
5, 36, 0.775
5, 37, 0.775
5, 38, 0.775
5, 39, 0.775
5, 40, 0.775
6, 0, 0.0
6, 1, 0.7425
6, 2, 0.76625
6, 3, 0.7675
6, 4, 0.7725
6, 5, 0.77375
