Number of exaples: 800
LLM Samples, PP Samples, Pass Rate
1, 0, 0.0
1, 1, 0.5375
1, 2, 0.5575
1, 3, 0.5725
1, 4, 0.575
1, 5, 0.575
1, 6, 0.575
1, 7, 0.5775
1, 8, 0.5775
1, 9, 0.57875
1, 10, 0.57875
1, 11, 0.58
1, 12, 0.58
1, 13, 0.5825
1, 14, 0.5825
1, 15, 0.58375
1, 16, 0.585
1, 17, 0.585
1, 18, 0.58625
1, 19, 0.58625
1, 20, 0.5875
1, 21, 0.58875
1, 22, 0.58875
1, 23, 0.58875
1, 24, 0.58875
1, 25, 0.58875
1, 26, 0.58875
1, 27, 0.59
1, 28, 0.59
1, 29, 0.59
1, 30, 0.59
1, 31, 0.59
1, 32, 0.59
1, 33, 0.59
1, 34, 0.59
1, 35, 0.59
1, 36, 0.59
1, 37, 0.59
1, 38, 0.59
1, 39, 0.59
1, 40, 0.59
2, 0, 0.0
2, 1, 0.63875
2, 2, 0.65375
2, 3, 0.65875
2, 4, 0.66125
2, 5, 0.6625
2, 6, 0.6625
2, 7, 0.66375
2, 8, 0.665
2, 9, 0.665
2, 10, 0.665
2, 11, 0.66625
2, 12, 0.6675
2, 13, 0.66875
2, 14, 0.66875
2, 15, 0.67
2, 16, 0.6725
2, 17, 0.6725
2, 18, 0.67375
2, 19, 0.67375
2, 20, 0.675
2, 21, 0.675
2, 22, 0.675
2, 23, 0.675
2, 24, 0.675
2, 25, 0.675
2, 26, 0.675
2, 27, 0.6775
2, 28, 0.6775
2, 29, 0.6775
2, 30, 0.6775
2, 31, 0.6775
2, 32, 0.6775
2, 33, 0.6775
2, 34, 0.6775
2, 35, 0.6775
2, 36, 0.6775
2, 37, 0.6775
2, 38, 0.6775
2, 39, 0.6775
2, 40, 0.6775
3, 0, 0.0
3, 1, 0.6875
3, 2, 0.695
3, 3, 0.7
3, 4, 0.70375
3, 5, 0.70375
3, 6, 0.70375
3, 7, 0.705
3, 8, 0.705
3, 9, 0.705
3, 10, 0.70625
3, 11, 0.70875
3, 12, 0.70875
3, 13, 0.71
3, 14, 0.71
3, 15, 0.71
3, 16, 0.71
3, 17, 0.71
3, 18, 0.71
3, 19, 0.71
3, 20, 0.71125
3, 21, 0.71125
3, 22, 0.71125
3, 23, 0.7125
3, 24, 0.7125
3, 25, 0.7125
3, 26, 0.7125
3, 27, 0.71375
3, 28, 0.71375
3, 29, 0.71375
3, 30, 0.71375
3, 31, 0.71375
3, 32, 0.71375
3, 33, 0.71375
3, 34, 0.71375
3, 35, 0.71375
3, 36, 0.71375
3, 37, 0.715
3, 38, 0.715
3, 39, 0.715
3, 40, 0.715
4, 0, 0.0
4, 1, 0.7125
4, 2, 0.72
4, 3, 0.725
4, 4, 0.72875
4, 5, 0.72875
4, 6, 0.72875
4, 7, 0.72875
4, 8, 0.73
4, 9, 0.73125
4, 10, 0.7325
4, 11, 0.73375
4, 12, 0.73375
4, 13, 0.735
4, 14, 0.735
4, 15, 0.735
4, 16, 0.735
4, 17, 0.735
4, 18, 0.735
4, 19, 0.735
4, 20, 0.73625
4, 21, 0.73625
4, 22, 0.73625
4, 23, 0.7375
4, 24, 0.7375
4, 25, 0.7375
4, 26, 0.7375
4, 27, 0.7375
4, 28, 0.7375
4, 29, 0.7375
4, 30, 0.7375
4, 31, 0.7375
4, 32, 0.73875
4, 33, 0.73875
4, 34, 0.73875
4, 35, 0.73875
4, 36, 0.73875
4, 37, 0.74
4, 38, 0.74
4, 39, 0.74
4, 40, 0.74
5, 0, 0.0
5, 1, 0.73875
5, 2, 0.745
5, 3, 0.75
5, 4, 0.7525
5, 5, 0.75375
5, 6, 0.75375
5, 7, 0.75375
5, 8, 0.755
5, 9, 0.755
5, 10, 0.75625
5, 11, 0.75625
5, 12, 0.75625
5, 13, 0.75625
5, 14, 0.75625
5, 15, 0.75625
5, 16, 0.75625
5, 17, 0.7575
5, 18, 0.7575
5, 19, 0.7575
5, 20, 0.75875
5, 21, 0.75875
5, 22, 0.75875
5, 23, 0.76
5, 24, 0.76
5, 25, 0.76
5, 26, 0.76
5, 27, 0.76
5, 28, 0.76
5, 29, 0.76
5, 30, 0.76
5, 31, 0.76
5, 32, 0.76125
5, 33, 0.76125
5, 34, 0.76125
5, 35, 0.76125
5, 36, 0.76125
5, 37, 0.7625
5, 38, 0.7625
5, 39, 0.7625
5, 40, 0.7625
6, 0, 0.0
6, 1, 0.7525
6, 2, 0.76
6, 3, 0.76375
6, 4, 0.76625
6, 5, 0.76875
6, 6, 0.76875
6, 7, 0.76875
6, 8, 0.77
6, 9, 0.77
6, 10, 0.77125
6, 11, 0.7725
6, 12, 0.7725
6, 13, 0.7725
6, 14, 0.7725
6, 15, 0.7725
6, 16, 0.7725
6, 17, 0.7725
6, 18, 0.7725
6, 19, 0.7725
6, 20, 0.77375
6, 21, 0.77375
6, 22, 0.77375
6, 23, 0.775
6, 24, 0.775
6, 25, 0.775
6, 26, 0.775
6, 27, 0.775
6, 28, 0.77625
6, 29, 0.77625
6, 30, 0.77625
6, 31, 0.77625
6, 32, 0.77625
6, 33, 0.77625
6, 34, 0.77625
6, 35, 0.77625
6, 36, 0.77625
6, 37, 0.7775
6, 38, 0.7775
6, 39, 0.7775
6, 40, 0.7775
7, 0, 0.0
7, 1, 0.7625
7, 2, 0.7725
7, 3, 0.775
7, 4, 0.77625
7, 5, 0.78
7, 6, 0.78
7, 7, 0.78
7, 8, 0.78125
7, 9, 0.7825
7, 10, 0.78375
7, 11, 0.78375
7, 12, 0.78375
7, 13, 0.78375
7, 14, 0.78375
7, 15, 0.78375
7, 16, 0.78375
7, 17, 0.78375
7, 18, 0.78375
7, 19, 0.78375
7, 20, 0.78375
7, 21, 0.78375
7, 22, 0.78375
7, 23, 0.785
7, 24, 0.785
7, 25, 0.785
7, 26, 0.785
7, 27, 0.785
7, 28, 0.78625
7, 29, 0.78625
7, 30, 0.78625
7, 31, 0.78625
7, 32, 0.78625
7, 33, 0.78625
7, 34, 0.78625
7, 35, 0.78625
7, 36, 0.78625
7, 37, 0.7875
7, 38, 0.7875
7, 39, 0.7875
7, 40, 0.7875
8, 0, 0.0
8, 1, 0.78
8, 2, 0.79
8, 3, 0.7925
8, 4, 0.7925
8, 5, 0.7925
8, 6, 0.7925
8, 7, 0.7925
8, 8, 0.79375
8, 9, 0.795
8, 10, 0.79625
8, 11, 0.79625
8, 12, 0.79625
8, 13, 0.79625
8, 14, 0.79625
8, 15, 0.79625
8, 16, 0.79625
8, 17, 0.79625
8, 18, 0.79625
8, 19, 0.79625
8, 20, 0.79625
8, 21, 0.79625
8, 22, 0.79625
8, 23, 0.7975
8, 24, 0.7975
8, 25, 0.7975
8, 26, 0.7975
8, 27, 0.7975
8, 28, 0.79875
8, 29, 0.79875
8, 30, 0.79875
8, 31, 0.79875
8, 32, 0.79875
8, 33, 0.79875
8, 34, 0.79875
8, 35, 0.79875
8, 36, 0.79875
8, 37, 0.8
8, 38, 0.8
8, 39, 0.8
8, 40, 0.8
9, 0, 0.0
9, 1, 0.78375
9, 2, 0.79375
9, 3, 0.79625
9, 4, 0.79625
9, 5, 0.79625
9, 6, 0.79625
9, 7, 0.79625
9, 8, 0.7975
9, 9, 0.79875
9, 10, 0.80125
9, 11, 0.80125
9, 12, 0.80125
9, 13, 0.80125
9, 14, 0.80125
9, 15, 0.80125
9, 16, 0.80125
9, 17, 0.80125
9, 18, 0.80125
9, 19, 0.80125
9, 20, 0.80125
9, 21, 0.80125
9, 22, 0.80125
9, 23, 0.8025
9, 24, 0.8025
9, 25, 0.8025
9, 26, 0.8025
9, 27, 0.8025
9, 28, 0.80375
9, 29, 0.80375
9, 30, 0.80375
9, 31, 0.80375
9, 32, 0.80375
9, 33, 0.80375
9, 34, 0.80375
9, 35, 0.80375
9, 36, 0.80375
9, 37, 0.80375
9, 38, 0.80375
9, 39, 0.80375
9, 40, 0.80375
10, 0, 0.0
10, 1, 0.79
10, 2, 0.79875
10, 3, 0.80125
10, 4, 0.80125
10, 5, 0.80125
10, 6, 0.80125
10, 7, 0.80125
10, 8, 0.8025
10, 9, 0.80375
10, 10, 0.80625
10, 11, 0.80625
10, 12, 0.80625
10, 13, 0.80625
10, 14, 0.80625
10, 15, 0.80625
10, 16, 0.80625
10, 17, 0.80625
