k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,0.19196360879454133,0.20742987111448064,0.21940864291129641,0.2275966641394996,0.23366186504927974,0.23623957543593627
2,0.28855193328279,0.30993176648976495,0.33282789992418493,0.3443517816527673,0.35284306292645945,0.3579984836997726
3,0.3473843821076573,0.3733131159969674,0.4025777103866566,0.4171341925701289,0.42714177407126613,0.43396512509476876
4,0.3893858984078848,0.4192570128885519,0.4506444275966642,0.465959059893859,0.4779378316906747,0.48612585291887794
5,0.4221379833206975,0.4548900682335102,0.4887035633055345,0.5056861258529188,0.5191811978771796,0.5273692191053828
6,0.44836997725549665,0.4829416224412434,0.5193328278999242,0.536770280515542,0.5516300227445035,0.5608794541319181
7,0.4682335102350265,0.5047763457164518,0.5437452615617893,0.5617892342683852,0.578013646702047,0.5881728582259287
8,0.487035633055345,0.5244882486732372,0.5649734647460197,0.5836239575435936,0.5995451099317666,0.6095526914329037
9,0.5026535253980289,0.5414708112206216,0.5848369977255496,0.6047005307050796,0.620773313115997,0.6309325246398787
10,0.5152388172858225,0.5561789234268385,0.600606520090978,0.620773313115997,0.6366944655041699,0.6462471569370736
11,0.5266110689916603,0.5696739954510993,0.6159211523881728,0.6359363153904474,0.6524639878695982,0.6617134192570129
12,0.5411675511751327,0.5852918877937832,0.6321455648218347,0.6527672479150872,0.66868840030326,0.6788476118271418
13,0.5507202426080364,0.5968157695223655,0.6435178165276725,0.6648976497346475,0.6812736921910538,0.6918877937831691
14,0.5620924943138742,0.6089461713419257,0.6564063684609553,0.6789992418498864,0.6959818043972706,0.7064442759666414
15,0.572554965883245,0.6218347232752086,0.6691432903714936,0.6926459438968916,0.7088703563305534,0.7193328278999241
16,0.580439727065959,0.6298711144806671,0.6783927217589082,0.7020470053070509,0.717816527672479,0.7284306292645943
17,0.5893858984078847,0.6395754359363154,0.6880970432145566,0.711751326762699,0.7273692191053829,0.7385898407884761
18,0.5963608794541319,0.6465504169825627,0.6962850644427597,0.7206974981046248,0.7360121304018195,0.7470811220621683
19,0.6024260803639121,0.6533737680060652,0.7043214556482182,0.7284306292645943,0.7440485216072782,0.7552691432903715
20,0.6092494313874146,0.6597422289613344,0.712054586808188,0.7357088703563306,0.7507202426080364,0.7613343442001516
