k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,0.8260803639120546,0.8374526156178923,0.8441243366186505,0.8465504169825625,0.8477634571645185,0.8489764973464746
2,0.8771796815769524,0.8871872630780896,0.8935557240333585,0.8952236542835482,0.896436694465504,0.8984078847611826
3,0.8968915845337376,0.9075056861258529,0.9132676269901442,0.915087187263078,0.9166034874905231,0.9179681576952238
4,0.9097801364670204,0.9191811978771796,0.9247915087187263,0.9272175890826384,0.9281273692191053,0.9293404094010616
5,0.9184230477634572,0.9279757391963608,0.9329795299469295,0.935253980288097,0.9361637604245641,0.9372251705837756
6,0.9258529188779377,0.9341925701288855,0.9396512509476876,0.9417740712661107,0.9426838514025777,0.9438968915845338
7,0.9313115996967399,0.9398028809704322,0.9446550416982562,0.9469294920394239,0.9484457922668688,0.9493555724033358
8,0.9357088703563307,0.9438968915845338,0.9487490523123577,0.9507202426080363,0.9520849128127369,0.9529946929492039
9,0.9398028809704322,0.9478392721758908,0.9522365428354813,0.9546626231993935,0.9558756633813494,0.9567854435178165
10,0.9429871114480667,0.9508718726307809,0.9551175132676271,0.9576952236542835,0.9592115238817286,0.9598180439727066
11,0.9466262319939348,0.9540561031084154,0.9583017437452614,0.9604245640636847,0.9619408642911298,0.9623957543593631
12,0.9489006823351023,0.9561789234268385,0.9601213040181955,0.9623957543593631,0.9636087945413193,0.9640636846095527
13,0.9504169825625473,0.9581501137225171,0.9623957543593631,0.964518574677786,0.9658832448824868,0.9664897649734648
14,0.9522365428354815,0.9601213040181957,0.9639120545868082,0.9660348749052312,0.9672479150871872,0.9678544351781653
15,0.9542077331311599,0.9619408642911298,0.9654283548142532,0.9675511751326763,0.9687642153146324,0.9692191053828658
16,0.9558756633813494,0.9634571645185745,0.9663381349507203,0.9686125852918878,0.9699772554965882,0.9702805155420773
17,0.95724033358605,0.9643669446550417,0.9673995451099318,0.9696739954510993,0.9708870356330553,0.9711902956785444
18,0.9583017437452617,0.9651250947687642,0.9680060652009098,0.9701288855193327,0.9713419257012887,0.9717968157695225
19,0.9595147839272176,0.9663381349507203,0.9692191053828658,0.971341925701289,0.9724033358605004,0.9727065959059894
20,0.9604245640636847,0.9667930250189538,0.9695223654283549,0.9714935557240334,0.9725549658832449,0.9728582259287339
