k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,4.594758734703063,4.248028430938721,4.255576374530793,4.264805090427399,4.27467801809311,4.284705855846406
3,5.920028390884399,5.596735608577729,5.620345196723938,5.651846656799316,5.681483106613159,5.708368153572083
5,5.987360234260559,6.5576139616966245,6.59226437330246,6.635800528526306,6.679404864311218,6.723151245117188
7,6.801271080970764,6.34026046037674,6.388814866542817,6.449765412807466,6.510412247180939,6.571377336978912
9,7.904269330501556,7.143364441394804,7.206658833026886,7.2864780879020685,7.3660249352455125,7.444850296974181
11,9.404767649173738,8.954297518730163,9.045855910778046,9.159220306873323,9.276026763916017,9.399817645549774
13,7.537880773544312,8.239782567024232,8.331262717247009,8.446683456897734,8.560681319236755,8.676237881183624
15,8.845457270145415,9.967286448478697,10.076356608867645,10.213842563629148,10.35056445598602,10.486964118480682
17,8.559623358249663,9.39441148042679,9.516554000377656,9.66349275827408,9.816031093597413,9.964993038177491
19,10.03871668100357,11.272712273597715,11.426566543579101,11.617933750152586,11.804510843753814,12.000305569171903
