k,LLM only,LLM + 1 PP,LLM + 5 PP,LLM + 10 PP,LLM + 15 PP,LLM + 20 PP
1,2.5881968879699704,2.6313273334503173,2.6359236884117125,2.6417729687690734,2.6478320479393007,2.6539005208015443
3,3.3426630806922915,3.3861140632629394,3.4007533645629886,3.418926243782044,3.437167646884918,3.455987157821655
5,4.302527129650116,4.308998670578004,4.338820257186891,4.377560896873474,4.415165855884553,4.455754218101502
7,5.414482161998748,5.550154936313629,5.600888030529022,5.663753046989441,5.732154231071473,5.808060660362243
9,6.111453695297241,5.815093002319335,5.884149131774902,5.970578744411468,6.059655952453613,6.150261299610138
11,6.1269781780242925,6.354764716625214,6.437647080421447,6.546777913570404,6.653243472576141,6.752765750885009
13,6.91491902589798,7.367167155742645,7.465809488296509,7.5977598500251755,7.729134528636932,7.856679749488831
15,7.707696475982667,6.623600594997406,6.7412238717079145,6.895980191230772,7.038159494400024,7.181972208023071
17,8.285456211566926,6.876441361904144,7.007146933078765,7.177548520565031,7.3449585390090935,7.511744279861449
19,6.807600471973418,7.084385738372804,7.220986461639404,7.404519374370575,7.585053572654725,7.7606248068809505
